b_type,b_id,pga,gm,status,max_idr,T1,max_acc_x,max_acc_z,max_bs_x,max_bs_z,total_weight,n_floors,floor_h,max_resid_x,max_resid_z,has_abs_accel,has_energy,has_residual,energy_ke_final,energy_win_final
C1L,2P5KB5N3WT,0.1,0001_CHICHI_TCU049_E,Success,0.0009157562088243389,0.1593071741555437,370.22229460066666,344.50620418746826,5433.65771484375,4958.1474609375,15494.976,1,306.0,0.0007300216196245715,0.0012464931203054026,True,True,True,0.043140459805727005,-4889.58642578125
C1L,2P5KB5N3WT,0.1,0002_CHICHI_TCU051_E,Success,0.0015108383711912492,0.1593071741555437,385.89025669478207,338.95546280774954,6249.71240234375,6862.01123046875,15494.976,1,306.0,0.0038575828685244685,0.0018569087997367551,True,True,True,0.2422797679901123,-4717.53173828125
C1L,2P5KB5N3WT,0.1,0003_0331Hualian_TCU095_E,Success,0.00047620642505072206,0.1593071741555437,136.86744382063856,109.18511426267536,3257.49462890625,2907.402587890625,15494.976,1,306.0,0.0006920009672320439,0.00018604119229478924,True,True,True,0.0006802529096603394,913.520263671875
C1L,2P5KB5N3WT,0.1,0004_0206Meinong_CHY096_E,Success,0.0008493445400503269,0.1593042414515666,169.80433565030802,356.3785156600172,2490.121826171875,5466.650390625,15494.976,1,306.0,0.00031592190034564416,0.0001517752228799306,True,True,True,1.6386384231736884e-05,-293.25421142578125
C1L,2P5KB5N3WT,0.1,0005_0206Meinong_CHY056_E,Success,0.0006727141853701762,0.1593042414515666,244.3901003233229,133.18125569207947,4195.4716796875,2720.81298828125,15494.976,1,306.0,0.0007892105414680166,0.0004393922683852552,True,True,True,0.00027788185980170965,737.6973266601562
C1L,2P5KB5N3WT,0.1,0006_0206Meinong_CHY053_E,Success,0.0005693491565859005,0.1593042414515666,190.59602180471,126.70349990640591,3148.954833984375,2832.18603515625,15494.976,1,306.0,0.00031139545136819793,5.5589121328648245e-05,True,True,True,4.6455388655886054e-05,605.0258178710938
C1L,2P5KB5N3WT,0.1,0007_0206Meinong_CHY067_E,Success,0.00046756591745073954,0.1593042414515666,190.54161026529738,138.05073048859117,3223.55322265625,2310.1650390625,15494.976,1,306.0,0.0006773942801285205,0.00035087267565053456,True,True,True,0.00042779382783919573,-158.99220275878906
C1L,2P5KB5N3WT,0.1,0008_CHICHI_CHY046-E,Success,0.0010473685865887636,0.1593042414515666,210.89335977702098,400.9235726809251,3711.33154296875,5995.91162109375,15494.976,1,306.0,0.0003805554185334446,0.0002861943211081901,True,True,True,0.00043406119220890105,42.36383056640625
C1L,2P5KB5N3WT,0.1,0009_CHICHI_TCU029-E,Success,0.0008256802206676328,0.1593042414515666,233.30177545499862,328.248046981725,3253.647216796875,5563.009765625,15494.976,1,306.0,0.0001776875933688709,0.00047219739041405584,True,True,True,2.3938657705002697e-06,677.0934448242188
C1L,2P5KB5N3WT,0.2,0001_CHICHI_TCU049_E,Success,0.0015103292845386658,0.15931086962979865,551.3617828853113,608.1284451898454,8203.8857421875,8251.94921875,15494.976,1,306.0,0.00321623908845776,0.0033476995558358287,True,True,True,0.4679737687110901,-18533.6015625
C1L,2P5KB5N3WT,0.2,0002_CHICHI_TCU051_E,Success,0.003048323293887358,0.15931086962979865,553.5507752390599,811.944913114905,8605.9345703125,13553.61328125,15494.976,1,306.0,0.006920080752257621,0.001213598277878172,True,True,True,0.22097724676132202,-23297.892578125
C1L,2P5KB5N3WT,0.2,0003_0331Hualian_TCU095_E,Success,0.0009632846884920196,0.15931086962979865,258.9081722972422,216.93315371885296,6248.49267578125,5736.63818359375,15494.976,1,306.0,0.0018877824961185958,0.0010283401578223173,True,True,True,0.0010213678469881415,3411.677978515625
C1L,2P5KB5N3WT,0.2,0004_0206Meinong_CHY096_E,Success,0.002251652358993084,0.15932159396034193,245.30894984627497,749.2447741237014,3687.580810546875,11689.595703125,15494.976,1,306.0,0.0013924531133374732,0.0011046872180150422,True,True,True,0.0011113255750387907,-5312.7978515625
C1L,2P5KB5N3WT,0.2,0005_0206Meinong_CHY056_E,Success,0.0013904323578946742,0.15932159396034193,485.7340290103975,404.1419743360243,8186.24853515625,6717.24951171875,15494.976,1,306.0,0.0017045208438109941,0.0008843104153397162,True,True,True,1.7690261302050203e-05,2224.58544921875
C1L,2P5KB5N3WT,0.2,0006_0206Meinong_CHY053_E,Success,0.0011835922133271387,0.15932159396034193,371.42995115916256,230.33318821881426,5884.46044921875,5454.51953125,15494.976,1,306.0,0.0012505194623576154,0.00041017281098663737,True,True,True,0.0005991963553242385,2547.940673828125
C1L,2P5KB5N3WT,0.2,0007_0206Meinong_CHY067_E,Success,0.0009499683395309336,0.15932159396034193,366.3247362007484,272.1945915882086,6227.10693359375,4473.61181640625,15494.976,1,306.0,0.0009858228600061849,0.0007428175912312086,True,True,True,0.008339221589267254,-214.08050537109375
C1L,2P5KB5N3WT,0.2,0008_CHICHI_CHY046-E,Success,0.0029518181723946937,0.15932159396034193,476.79216639566886,799.4654230732664,7585.14306640625,13108.4169921875,15494.976,1,306.0,0.0012709394040160043,0.0010765216582832966,True,True,True,0.001957584172487259,-15698.2890625
C1L,2P5KB5N3WT,0.2,0009_CHICHI_TCU029-E,Success,0.0035660689255985916,0.15932159396034193,403.98410060183505,1079.8633507528507,5665.38720703125,16036.0771484375,15494.976,1,306.0,0.0005585272716534354,0.002935523364637013,True,True,True,0.00016254275396931916,-19656.4921875
C1L,2P5KB5N3WT,0.3,0001_CHICHI_TCU049_E,Success,0.002471867743349386,0.15930304806772017,876.9007066728469,648.2510794606409,11888.6494140625,11075.193359375,15494.976,1,306.0,0.004448938792086818,0.010179614489793787,True,True,True,1.0540043115615845,-23640.63671875
C1L,2P5KB5N3WT,0.3,0002_CHICHI_TCU051_E,Success,0.004462596336141133,0.15930304806772017,811.7815874767186,1025.5664152350105,15003.0751953125,17539.091796875,15494.976,1,306.0,6.539139111341364e-05,0.0026139084263186287,True,True,True,0.5980908870697021,-49635.984375
C1L,2P5KB5N3WT,0.3,0003_0331Hualian_TCU095_E,Success,0.0014877389693884098,0.15930304806772017,371.9458506009676,312.58038372506775,8464.462890625,8306.0400390625,15494.976,1,306.0,0.0019379447071673965,0.002578387963863924,True,True,True,0.007643812336027622,5373.19384765625
C1L,2P5KB5N3WT,0.3,0004_0206Meinong_CHY096_E,Success,0.0022353236656902863,0.15930313259296403,340.8352195160305,790.3517370172568,5760.89111328125,10874.6015625,15494.976,1,306.0,0.0014731037504644594,0.0006825232039311749,True,True,True,0.0015697102062404156,-6216.05810546875
C1L,2P5KB5N3WT,0.3,0005_0206Meinong_CHY056_E,Success,0.0022449775693887176,0.15930313259296403,759.5436652138462,414.4144597088569,11530.3525390625,7425.8349609375,15494.976,1,306.0,0.002332788670376369,0.003085319953612976,True,True,True,0.002221432514488697,4477.82568359375
C1L,2P5KB5N3WT,0.3,0006_0206Meinong_CHY053_E,Success,0.0016404306796314195,0.15930313259296403,428.49120314040067,346.2670785721132,7074.2255859375,7752.8046875,15494.976,1,306.0,0.0013362462884442079,0.0007407253105783245,True,True,True,0.0009506968781352043,7676.69140625
C1L,2P5KB5N3WT,0.3,0007_0206Meinong_CHY067_E,Success,0.0016502717096801996,0.15930313259296403,580.374988554811,484.17029407709026,9461.03125,7876.2978515625,15494.976,1,306.0,0.0007064651076762368,0.00014683200487860038,True,True,True,0.05375010520219803,-3788.688720703125
C1L,2P5KB5N3WT,0.3,0008_CHICHI_CHY046-E,Success,0.005296489655395667,0.15930313259296403,741.5223646741846,1192.1892075238661,11367.2919921875,21076.552734375,15494.976,1,306.0,0.00044138253937289366,0.00010225801182815771,True,True,True,0.013916641473770142,-50143.140625
C1L,2P5KB5N3WT,0.3,0009_CHICHI_TCU029-E,Success,0.004894343288483945,0.15930313259296403,850.3618267603757,1380.2666402760801,12346.353515625,19711.3359375,15494.976,1,306.0,0.0032676524579447084,0.003551513749509143,True,True,True,0.0029574085492640734,-42906.34765625
C1L,2P5KB5N3WT,0.4,0001_CHICHI_TCU049_E,Success,0.0035457936908558432,0.1593105075131377,1148.8426573179179,783.0292197469731,15606.98046875,11356.103515625,15494.976,1,306.0,0.004678033169778785,0.011885632461928843,True,True,True,0.6872400641441345,-37642.2578125
C1L,2P5KB5N3WT,0.4,0002_CHICHI_TCU051_E,Success,0.008245859522449675,0.1593105075131377,1767.6597878034218,1684.3584716704004,26212.58203125,26764.912109375,15494.976,1,306.0,0.0057013611742335706,0.03377402216914447,True,True,True,2.201669454574585,-232822.859375
C1L,2P5KB5N3WT,0.4,0003_0331Hualian_TCU095_E,Success,0.0020332063533595656,0.1593105075131377,403.62565893383453,416.60265560122406,9902.796875,10815.4228515625,15494.976,1,306.0,0.0006533196554797886,0.0026182355398904544,True,True,True,0.04134456068277359,9988.2197265625
C1L,2P5KB5N3WT,0.4,0004_0206Meinong_CHY096_E,Success,0.0026215348992160476,0.1593232008363677,513.3890942199722,867.1042567345107,9327.162109375,12751.4130859375,15494.976,1,306.0,0.00026712021763452025,0.0003464387984085599,True,True,True,0.0006440062425099313,-5110.76904296875
C1L,2P5KB5N3WT,0.4,0005_0206Meinong_CHY056_E,Success,0.002926665750230159,0.1593232008363677,924.7575441442489,626.9086217565616,13759.1171875,11757.359375,15494.976,1,306.0,0.0009658576411448228,0.0018808649197868724,True,True,True,0.0035319156013429165,10156.5556640625
C1L,2P5KB5N3WT,0.4,0006_0206Meinong_CHY053_E,Success,0.00218588920442951,0.1593232008363677,679.8190440941661,634.1040674600155,10801.8779296875,10081.69140625,15494.976,1,306.0,0.00040808203301895057,0.00036731269800448885,True,True,True,0.0006129738176241517,8753.1748046875
C1L,2P5KB5N3WT,0.4,0007_0206Meinong_CHY067_E,Success,0.0027513721752620507,0.1593232008363677,841.4513973235814,595.6181484632939,12562.607421875,9096.58203125,15494.976,1,306.0,0.00020034527860101982,0.0007648916669514147,True,True,True,0.13249517977237701,-19484.7421875
C1L,2P5KB5N3WT,0.4,0008_CHICHI_CHY046-E,Success,0.006539384649520399,0.1593232008363677,1165.7262177011935,1546.036808608819,17612.51171875,24064.0546875,15494.976,1,306.0,0.0006614004156357861,0.0011659521454907462,True,True,True,0.0629224181175232,-145161.1875
C1L,2P5KB5N3WT,0.4,0009_CHICHI_TCU029-E,Success,0.00624885155922655,0.1593232008363677,1356.7914757769772,1577.1986789322916,20034.458984375,22339.751953125,15494.976,1,306.0,0.0020002469960088425,0.0037520660742834475,True,True,True,0.0034458343870937824,-57952.3359375
C1L,2P5KB5N3WT,0.5,0001_CHICHI_TCU049_E,Success,0.004820436841034786,0.15932574538478675,1300.8886834713269,906.9116554263113,18530.03515625,13563.904296875,15494.976,1,306.0,0.006656896309311447,0.02200488126518499,True,True,True,2.169260263442993,-50774.890625
C1L,2P5KB5N3WT,0.5,0002_CHICHI_TCU051_E,Success,0.012081366033141512,0.15932574538478675,1703.1776020905318,2443.5747261723127,26537.330078125,35912.078125,15494.976,1,306.0,0.08235630998646752,0.06796282394230141,True,True,True,4.23724365234375,-426956.53125
C1L,2P5KB5N3WT,0.5,0003_0331Hualian_TCU095_E,Success,0.0030106490882316215,0.15932574538478675,611.2459582226808,596.01876628144,11776.9677734375,14286.3330078125,15494.976,1,306.0,0.004316652144221536,0.006482776911451244,True,True,True,0.04485374316573143,13252.318359375
C1L,2P5KB5N3WT,0.5,0004_0206Meinong_CHY096_E,Success,0.0042768767615397755,0.15931766112046314,795.1491195398731,1087.3002723765708,14647.3427734375,17790.408203125,15494.976,1,306.0,0.0035099142727389805,0.0035075370804154714,True,True,True,0.0010307584889233112,-39527.80078125
